Date,Opening,Closing,Variation,Minimum,Maximum
28/03/2024,127.689,128.106,0,33,127.270,128.364
27/03/2024,126.863,127.691,0,65,126.223,127.756
26/03/2024,126.931,126.863,-0,05,126.591,127.193
25/03/2024,127.027,126.931,-0,08,126.750,127.224
22/03/2024,129.125,127.027,-0,88,126.879,128.159
21/03/2024,127.534,128.159,-0,75,128.093,129.556
20/03/2024,126.955,129.125,1,25,127.349,129.210
19/03/2024,126.955,127.529,0,45,126.955,128.000
18/03/2024,126.758,126.954,0,17,126.272,127.540
15/03/2024,127.682,126.742,-0,74,126.502,127.957
14/03/2024,127.992,127.690,-0,25,127.192,128.256
13/03/2024,127.668,128.006,0,26,127.439,128.530
12/03/2024,126.124,127.668,1,22,126.121,128.039
11/03/2024,127.068,126.124,-0,75,126.065,127.068
08/03/2024,128.335,127.071,-0,99,125.802,128.338
07/03/2024,128.890,128.340,-0,43,128.033,129.188
06/03/2024,128.099,128.890,0,62,128.099,129.323
05/03/2024,128.336,128.098,-0,19,127.823,128.989
04/03/2024,129.176,128.341,-0,65,128.278,129.307
01/03/2024,129.026,129.180,0,12,128.717,129.716
29/02/2024,130.155,129.020,-0,87,128.669,130.155
28/02/2024,131.685,130.155,-1,16,129.771,131.685
27/02/2024,129.613,131.689,1,61,129.613,131.696
26/02/2024,129.417,129.609,0,15,129.077,129.978
23/02/2024,130.240,129.419,-0,63,129.077,130.624
22/02/2024,130.035,130.241,0,16,129.971,130.829
21/02/2024,129.916,130.032,0,09,129.359,130.034
20/02/2024,129.033,129.916,0,68,128.326,129.916
19/02/2024,128.720,129.036,0,24,128.097,129.036
16/02/2024,127.809,128.726,0,72,127.653,129.069
15/02/2024,127.018,127.804,0,62,126.932,127.824
09/02/2024,128.216,128.026,-0,15,127.579,128.896
08/02/2024,129.950,128.217,-1,33,127.912,130.126
07/02/2024,130.412,129.950,-0,36,129.426,130.552
06/02/2024,127.593,130.416,2,21,127.593,130.417
05/02/2024,127.182,127.593,0,32,126.443,127.834
02/02/2024,128.471,127.182,-1,01,126.628,128.878
01/02/2024,127.752,128.481,0,57,127.284,128.481
31/01/2024,127.402,127.752,0,28,127.326,129.558
30/01/2024,128.492,127.402,-0,86,127.105,128.492
29/01/2024,128.970,128.503,-0,36,127.853,129.068
26/01/2024,128.196,128.967,0,62,127.869,129.252
25/01/2024,127.815,128.169,0,28,127.803,128.697
24/01/2024,128.275,127.816,-0,35,127.680,129.446
23/01/2024,126.612,128.263,1,31,126.612,128.331
22/01/2024,127.636,126.602,-0,81,125.876,127.843
19/01/2024,127.319,127.636,0,25,126.533,127.820
18/01/2024,128.524,127.316,-0,94,127.316,129.047
17/01/2024,129.293,128.524,-0,6,128.312,129.296
16/01/2024,131.515,129.294,-1,69,129.147,131.517
15/01/2024,130.988,131.521,0,41,130.253,131.606
12/01/2024,130.652,130.988,0,26,130.410,131.927
11/01/2024,130.841,130.649,-0,15,129.898,131.308
10/01/2024,131.447,130.841,-0,46,130.438,131.628
09/01/2024,132.424,131.447,-0,74,131.203,132.426
08/01/2024,132.023,132.427,0,31,131.015,132.498
05/01/2024,131.218,132.023,0,61,130.579,132.635
04/01/2024,132.831,131.226,-1,21,131.024,132.885
03/01/2024,132.697,132.834,0,1,132.250,133.576
02/01/2024,134.186,132.697,-1,11,132.095,134.195
28/12/2023,134.194,134.185,-0,01,133.832,134.392
27/12/2023,133.523,134.194,0,49,133.328,134.195
26/12/2023,132.753,133.533,0,59,132.753,133.645
22/12/2023,132.182,132.753,0,43,132.094,133.035
21/12/2023,130.826,132.182,1,05,130.822,132.277
20/12/2023,131.851,130.804,-0,79,130.710,132.341
19/12/2023,131.088,131.851,0,59,131.086,132.047
18/12/2023,130.202,131.084,0,68,130.198,131.447
15/12/2023,130.842,130.197,-0,49,129.884,131.661
14/12/2023,126.406,130.842,1,06,129.469,131.260
13/12/2023,126.923,129.465,2,42,126.299,129.793
12/12/2023,126.923,126.403,-0,4,126.013,127.359
11/12/2023,127.093,126.916,-0,14,126.526,127.154
08/12/2023,126.010,127.094,0,86,125.562,127.289
07/12/2023,125.623,126.010,0,31,125.566,126.581
06/12/2023,126.907,125.623,-1,01,125.614,127.538
05/12/2023,126.802,126.903,0,08,126.491,127.489
04/12/2023,128.183,126.803,-1,08,126.643,128.183
01/12/2023,127.331,128.185,0,67,126.656,128.185
30/11/2023,126.168,127.331,0,92,126.168,127.399
29/11/2023,126.541,126.166,-0,29,126.018,127.388
28/11/2023,125.726,126.538,0,64,125.388,126.916
27/11/2023,125.517,125.731,0,17,124.840,125.826
24/11/2023,126.553,125.517,-0,84,125.341,126.553
23/11/2023,126.035,126.576,0,43,125.764,126.760
22/11/2023,125.626,126.035,0,33,125.439,126.875
21/11/2023,125.957,125.626,-0,26,125.060,125.957
20/11/2023,124.773,125.957,0,95,124.773,126.162
17/11/2023,124.639,124.773,0,11,124.547,125.431
16/11/2023,123.165,124.639,1,2,123.165,124.737
14/11/2023,120.411,123.166,2,29,120.411,123.370
13/11/2023,120.561,120.410,-0,13,119.878,120.606
10/11/2023,119.036,120.568,1,29,119.036,120.823
09/11/2023,119.180,119.034,-0,12,118.446,120.257
08/11/2023,119.268,119.177,-0,08,118.464,119.976
07/11/2023,118.422,119.268,0,71,118.026,119.577
06/11/2023,118.160,118.431,0,23,118.045,118.758
03/11/2023,115.062,118.160,2,7,115.062,118.502
01/11/2023,113.157,115.053,1,69,113.157,115.433
31/10/2023,112.534,113.144,0,54,112.098,113.597
30/10/2023,113.303,112.532,-0,68,112.309,114.204
27/10/2023,114.777,113.301,-1,29,112.953,115.342
26/10/2023,112.840,114.777,1,73,112.840,114.886
25/10/2023,113.762,112.830,-0,82,112.680,114.319
24/10/2023,112.814,113.762,0,87,112.814,114.249
